Title,Score,Episodes,URL
Naruto,8.01,220,https://myanimelist.net/anime/20/Naruto
The Last: Naruto the Movie,7.79,1,https://myanimelist.net/anime/16870/The_Last__Naruto_the_Movie
Boruto: Naruto the Movie,7.38,1,https://myanimelist.net/anime/28755/Boruto__Naruto_the_Movie
Naruto: Shippuuden Movie 6 - Road to Ninja,7.68,1,https://myanimelist.net/anime/13667/Naruto__Shippuuden_Movie_6_-_Road_to_Ninja
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo!,7.12,1,https://myanimelist.net/anime/442/Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Ninpouchou_Dattebayo
Naruto: Shippuuden Movie 1,7.29,1,https://myanimelist.net/anime/2472/Naruto__Shippuuden_Movie_1
Naruto: Shippuuden Movie 2 - Kizuna,7.28,1,https://myanimelist.net/anime/4437/Naruto__Shippuuden_Movie_2_-_Kizuna
Naruto: Shippuuden Movie 4 - The Lost Tower,7.42,1,https://myanimelist.net/anime/8246/Naruto__Shippuuden_Movie_4_-_The_Lost_Tower
Naruto: Shippuuden Movie 5 - Blood Prison,7.46,1,https://myanimelist.net/anime/10589/Naruto__Shippuuden_Movie_5_-_Blood_Prison
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,6.88,1,https://myanimelist.net/anime/936/Naruto_Movie_2__Dai_Gekitotsu_Maboroshi_no_Chiteiiseki_Dattebayo
Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panic Dattebayo!,6.92,1,https://myanimelist.net/anime/2144/Naruto_Movie_3__Dai_Koufun_Mikazuki_Jima_no_Animaru_Panic_Dattebayo
Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,7.32,1,https://myanimelist.net/anime/32365/Boruto__Naruto_the_Movie_-_Naruto_ga_Hokage_ni_Natta_Hi
Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!,6.77,1,https://myanimelist.net/anime/1074/Naruto_Narutimate_Hero_3__Tsuini_Gekitotsu_Jounin_vs_Genin_Musabetsu_Dairansen_Taikai_Kaisai
Naruto: Shippuuden - Sunny Side Battle,7.58,1,https://myanimelist.net/anime/19511/Naruto__Shippuuden_-_Sunny_Side_Battle
"Naruto: Shippuuden - Shippuu! ""Konoha Gakuen"" Den",7.13,1,https://myanimelist.net/anime/4134/Naruto__Shippuuden_-_Shippuu_Konoha_Gakuen_Den
Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,6.95,1,https://myanimelist.net/anime/10659/Naruto_Soyokazeden_Movie__Naruto_to_Mashin_to_Mitsu_no_Onegai_Dattebayo
Road of Naruto,8.4,1,https://myanimelist.net/anime/53236/Road_of_Naruto
Boruto: Naruto Next Generations,6,293,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations
Kamiusagi Rope x Boruto: Naruto Next Generations,5.48,1,https://myanimelist.net/anime/36564/Kamiusagi_Rope_x_Boruto__Naruto_Next_Generations
Naruto x UT,7.36,1,https://myanimelist.net/anime/10075/Naruto_x_UT
Boruto: Naruto Next Generations Part 2,,,https://myanimelist.net/anime/54687/Boruto__Naruto_Next_Generations_Part_2
Naruto: Shippuuden,8.28,500,https://myanimelist.net/anime/1735/Naruto__Shippuuden
Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,7.33,1,https://myanimelist.net/anime/6325/Naruto__Shippuuden_Movie_3_-_Hi_no_Ishi_wo_Tsugu_Mono
Naruto SD: Rock Lee no Seishun Full-Power Ninden,7.17,51,https://myanimelist.net/anime/12979/Naruto_SD__Rock_Lee_no_Seishun_Full-Power_Ninden
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,6.76,1,https://myanimelist.net/anime/594/Naruto__Takigakure_no_Shitou_-_Ore_ga_Eiyuu_Dattebayo
